MARYLAND ......................................,529,648,729,888,"1,089","1,856","2,009","2,143","2,106","2,518","14,515"
NORTHWEST AREA ........................,53,53,74,81,118,198,157,189,168,219,"1,310"
GARRETT .....................................,1,0,4,2,4,0,4,3,6,5,29
ALLEGANY ....................................,8,10,11,11,20,55,36,33,23,48,255
WASHINGTON ..............................,16,20,26,34,57,63,51,83,80,105,535
FREDERICK ..................................,28,23,33,34,37,80,66,70,59,61,491
BALTIMORE METRO AREA ............,341,437,485,591,742,"1,262","1,404","1,578","1,508","1,715","10,063"
BALTIMORE CITY .........................,142,189,212,275,354,628,692,814,851,964,"5,121"
BALTIMORE COUNTY ..................,93,104,125,146,195,305,323,352,316,356,"2,315"
ANNE ARUNDEL ..........................,53,68,67,85,89,169,198,218,183,226,"1,356"
CARROLL ......................................,7,27,21,29,34,44,51,68,51,43,375
HOWARD ......................................,18,17,26,18,25,40,47,36,34,52,313
HARFORD .....................................,28,32,34,38,45,76,93,90,73,74,583
NATIONAL CAPITAL AREA .............,52,66,78,101,104,190,215,158,188,268,"1,420"
MONTGOMERY ............................,28,36,40,53,59,84,91,64,86,109,650
PRINCE GEORGE’S .....................,24,30,38,48,45,106,124,94,102,159,770
SOUTHERN AREA ...........................,26,32,24,40,48,74,94,71,82,93,584
CALVERT ......................................,10,11,5,16,19,25,27,25,25,19,182
CHARLES ......................................,10,12,9,16,17,36,34,19,26,42,221
ST MARY’S ...................................,6,9,10,8,12,13,33,27,31,32,181
EASTERN SHORE AREA ................,57,60,68,75,77,132,139,147,160,223,"1,138"
CECIL ............................................,24,22,22,25,26,28,57,58,53,85,400
KENT .............................................,1,0,4,3,3,4,4,2,10,6,37
QUEEN ANNE’S ............................,4,2,7,9,4,6,6,16,11,13,78
CAROLINE ....................................,8,4,2,7,3,9,8,7,11,15,74
TALBOT .........................................,1,3,6,4,5,10,8,10,13,13,73
DORCHESTER .............................,2,5,5,0,1,5,10,6,10,15,59
WICOMICO ...................................,10,17,14,15,17,44,28,30,29,39,243
SOMERSET ..................................,3,2,4,2,4,6,3,8,9,13,54
WORCESTER ...............................,4,5,4,10,14,20,15,10,14,24,120
